KE: , 0.256446 , PE: , -0.142431 , total: , 0.114015 , delta E: , -0.14489 , t: , 33.25
KE: , 0.256331 , PE: , -0.142372 , total: , 0.113959 , delta E: , -0.145308 , t: , 33.5
KE: , 0.256225 , PE: , -0.142318 , total: , 0.113907 , delta E: , -0.145698 , t: , 33.75
KE: , 0.256126 , PE: , -0.142267 , total: , 0.113859 , delta E: , -0.146059 , t: , 34
KE: , 0.256035 , PE: , -0.142221 , total: , 0.113814 , delta E: , -0.146392 , t: , 34.25
KE: , 0.255952 , PE: , -0.142178 , total: , 0.113774 , delta E: , -0.146696 , t: , 34.5
KE: , 0.255877 , PE: , -0.142139 , total: , 0.113737 , delta E: , -0.146972 , t: , 34.75
KE: , 0.255809 , PE: , -0.142105 , total: , 0.113704 , delta E: , -0.147219 , t: , 35
KE: , 0.25575 , PE: , -0.142075 , total: , 0.113675 , delta E: , -0.147436 , t: , 35.25
KE: , 0.255698 , PE: , -0.142048 , total: , 0.11365 , delta E: , -0.147625 , t: , 35.5
KE: , 0.255655 , PE: , -0.142026 , total: , 0.113629 , delta E: , -0.147785 , t: , 35.75
KE: , 0.255619 , PE: , -0.142008 , total: , 0.113611 , delta E: , -0.147916 , t: , 36
KE: , 0.255591 , PE: , -0.141993 , total: , 0.113598 , delta E: , -0.148018 , t: , 36.25
KE: , 0.255571 , PE: , -0.141983 , total: , 0.113588 , delta E: , -0.14809 , t: , 36.5
KE: , 0.255559 , PE: , -0.141977 , total: , 0.113582 , delta E: , -0.148134 , t: , 36.75
KE: , 0.255556 , PE: , -0.141975 , total: , 0.11358 , delta E: , -0.148148 , t: , 37
KE: , 0.25556 , PE: , -0.141977 , total: , 0.113582 , delta E: , -0.148133 , t: , 37.25
KE: , 0.255572 , PE: , -0.141983 , total: , 0.113588 , delta E: , -0.148089 , t: , 37.5
KE: , 0.255591 , PE: , -0.141994 , total: , 0.113598 , delta E: , -0.148016 , t: , 37.75
KE: , 0.255619 , PE: , -0.142008 , total: , 0.113611 , delta E: , -0.147914 , t: , 38
KE: , 0.255655 , PE: , -0.142026 , total: , 0.113629 , delta E: , -0.147783 , t: , 38.25
KE: , 0.255699 , PE: , -0.142049 , total: , 0.11365 , delta E: , -0.147623 , t: , 38.5
KE: , 0.255751 , PE: , -0.142075 , total: , 0.113676 , delta E: , -0.147433 , t: , 38.75
KE: , 0.25581 , PE: , -0.142105 , total: , 0.113705 , delta E: , -0.147215 , t: , 39
KE: , 0.255878 , PE: , -0.14214 , total: , 0.113738 , delta E: , -0.146968 , t: , 39.25
KE: , 0.255953 , PE: , -0.142179 , total: , 0.113774 , delta E: , -0.146692 , t: , 39.5
KE: , 0.256036 , PE: , -0.142221 , total: , 0.113815 , delta E: , -0.146388 , t: , 39.75
KE: , 0.256127 , PE: , -0.142268 , total: , 0.113859 , delta E: , -0.146054 , t: , 40
KE: , 0.256226 , PE: , -0.142318 , total: , 0.113908 , delta E: , -0.145693 , t: , 40.25
KE: , 0.256333 , PE: , -0.142373 , total: , 0.11396 , delta E: , -0.145302 , t: , 40.5
KE: , 0.256447 , PE: , -0.142432 , total: , 0.114015 , delta E: , -0.144884 , t: , 40.75
KE: , 0.25657 , PE: , -0.142495 , total: , 0.114075 , delta E: , -0.144437 , t: , 41
KE: , 0.2567 , PE: , -0.142561 , total: , 0.114138 , delta E: , -0.143962 , t: , 41.25
KE: , 0.256838 , PE: , -0.142632 , total: , 0.114205 , delta E: , -0.14346 , t: , 41.5
KE: , 0.256983 , PE: , -0.142707 , total: , 0.114276 , delta E: , -0.142929 , t: , 41.75
KE: , 0.257136 , PE: , -0.142786 , total: , 0.114351 , delta E: , -0.142371 , t: , 42
KE: , 0.257297 , PE: , -0.142868 , total: , 0.114429 , delta E: , -0.141786 , t: , 42.25
KE: , 0.257465 , PE: , -0.142955 , total: , 0.11451 , delta E: , -0.141173 , t: , 42.5
KE: , 0.257641 , PE: , -0.143046 , total: , 0.114596 , delta E: , -0.140533 , t: , 42.75
KE: , 0.257825 , PE: , -0.14314 , total: , 0.114684 , delta E: , -0.139866 , t: , 43
KE: , 0.258016 , PE: , -0.143239 , total: , 0.114777 , delta E: , -0.139173 , t: , 43.25
KE: , 0.258214 , PE: , -0.143341 , total: , 0.114873 , delta E: , -0.138453 , t: , 43.5
KE: , 0.25842 , PE: , -0.143447 , total: , 0.114972 , delta E: , -0.137707 , t: , 43.75
KE: , 0.258633 , PE: , -0.143558 , total: , 0.115075 , delta E: , -0.136935 , t: , 44
KE: , 0.258854 , PE: , -0.143672 , total: , 0.115182 , delta E: , -0.136137 , t: , 44.25
KE: , 0.259081 , PE: , -0.14379 , total: , 0.115292 , delta E: , -0.135313 , t: , 44.5
KE: , 0.259316 , PE: , -0.143912 , total: , 0.115405 , delta E: , -0.134465 , t: , 44.75
KE: , 0.259558 , PE: , -0.144037 , total: , 0.115521 , delta E: , -0.133591 , t: , 45
KE: , 0.259808 , PE: , -0.144167 , total: , 0.115641 , delta E: , -0.132693 , t: , 45.25
KE: , 0.260064 , PE: , -0.1443 , total: , 0.115764 , delta E: , -0.13177 , t: , 45.5
KE: , 0.260327 , PE: , -0.144437 , total: , 0.11589 , delta E: , -0.130823 , t: , 45.75
KE: , 0.260597 , PE: , -0.144578 , total: , 0.11602 , delta E: , -0.129852 , t: , 46
KE: , 0.260875 , PE: , -0.144722 , total: , 0.116152 , delta E: , -0.128857 , t: , 46.25
KE: , 0.261158 , PE: , -0.14487 , total: , 0.116288 , delta E: , -0.127839 , t: , 46.5
KE: , 0.261449 , PE: , -0.145022 , total: , 0.116427 , delta E: , -0.126799 , t: , 46.75
KE: , 0.261746 , PE: , -0.145178 , total: , 0.116569 , delta E: , -0.125736 , t: , 47
KE: , 0.26205 , PE: , -0.145337 , total: , 0.116713 , delta E: , -0.12465 , t: , 47.25
KE: , 0.262361 , PE: , -0.1455 , total: , 0.116861 , delta E: , -0.123543 , t: , 47.5
KE: , 0.262677 , PE: , -0.145666 , total: , 0.117011 , delta E: , -0.122415 , t: , 47.75
KE: , 0.263001 , PE: , -0.145836 , total: , 0.117165 , delta E: , -0.121265 , t: , 48
KE: , 0.26333 , PE: , -0.146009 , total: , 0.117321 , delta E: , -0.120095 , t: , 48.25
KE: , 0.263666 , PE: , -0.146186 , total: , 0.117479 , delta E: , -0.118904 , t: , 48.5
KE: , 0.264008 , PE: , -0.146367 , total: , 0.117641 , delta E: , -0.117693 , t: , 48.75
KE: , 0.264355 , PE: , -0.14655 , total: , 0.117805 , delta E: , -0.116463 , t: , 49
KE: , 0.264709 , PE: , -0.146737 , total: , 0.117971 , delta E: , -0.115214 , t: , 49.25
KE: , 0.265068 , PE: , -0.146928 , total: , 0.118141 , delta E: , -0.113946 , t: , 49.5
KE: , 0.265434 , PE: , -0.147122 , total: , 0.118312 , delta E: , -0.11266 , t: , 49.75
KE: , 0.265804 , PE: , -0.147319 , total: , 0.118486 , delta E: , -0.111356 , t: , 50
KE: , 0.266181 , PE: , -0.147519 , total: , 0.118662 , delta E: , -0.110035 , t: , 50.25
KE: , 0.266563 , PE: , -0.147722 , total: , 0.11884 , delta E: , -0.108698 , t: , 50.5
KE: , 0.26695 , PE: , -0.147929 , total: , 0.119021 , delta E: , -0.107344 , t: , 50.75
KE: , 0.267342 , PE: , -0.148138 , total: , 0.119203 , delta E: , -0.105974 , t: , 51
KE: , 0.267739 , PE: , -0.148351 , total: , 0.119388 , delta E: , -0.104589 , t: , 51.25
KE: , 0.268141 , PE: , -0.148566 , total: , 0.119575 , delta E: , -0.103189 , t: , 51.5
KE: , 0.268548 , PE: , -0.148785 , total: , 0.119763 , delta E: , -0.101775 , t: , 51.75
KE: , 0.26896 , PE: , -0.149006 , total: , 0.119954 , delta E: , -0.100347 , t: , 52
KE: , 0.269376 , PE: , -0.14923 , total: , 0.120146 , delta E: , -0.0989059 , t: , 52.25
KE: , 0.269797 , PE: , -0.149457 , total: , 0.12034 , delta E: , -0.0974523 , t: , 52.5
KE: , 0.270221 , PE: , -0.149686 , total: , 0.120535 , delta E: , -0.0959865 , t: , 52.75
KE: , 0.27065 , PE: , -0.149918 , total: , 0.120732 , delta E: , -0.0945093 , t: , 53
KE: , 0.271083 , PE: , -0.150153 , total: , 0.120931 , delta E: , -0.0930211 , t: , 53.25
KE: , 0.27152 , PE: , -0.15039 , total: , 0.12113 , delta E: , -0.0915226 , t: , 53.5
KE: , 0.271961 , PE: , -0.150629 , total: , 0.121331 , delta E: , -0.0900144 , t: , 53.75
KE: , 0.272405 , PE: , -0.150871 , total: , 0.121534 , delta E: , -0.0884971 , t: , 54
KE: , 0.272852 , PE: , -0.151115 , total: , 0.121737 , delta E: , -0.0869713 , t: , 54.25
KE: , 0.273303 , PE: , -0.151361 , total: , 0.121942 , delta E: , -0.0854376 , t: , 54.5
KE: , 0.273756 , PE: , -0.151609 , total: , 0.122147 , delta E: , -0.0838966 , t: , 54.75
KE: , 0.274213 , PE: , -0.151859 , total: , 0.122353 , delta E: , -0.0823491 , t: , 55
KE: , 0.274672 , PE: , -0.152111 , total: , 0.122561 , delta E: , -0.0807956 , t: , 55.25
KE: , 0.275134 , PE: , -0.152365 , total: , 0.122768 , delta E: , -0.0792369 , t: , 55.5
KE: , 0.275597 , PE: , -0.152621 , total: , 0.122977 , delta E: , -0.0776735 , t: , 55.75
KE: , 0.276064 , PE: , -0.152878 , total: , 0.123186 , delta E: , -0.0761062 , t: , 56
KE: , 0.276532 , PE: , -0.153136 , total: , 0.123395 , delta E: , -0.0745356 , t: , 56.25
KE: , 0.277001 , PE: , -0.153396 , total: , 0.123605 , delta E: , -0.0729625 , t: , 56.5
KE: , 0.277473 , PE: , -0.153658 , total: , 0.123815 , delta E: , -0.0713876 , t: , 56.75
KE: , 0.277945 , PE: , -0.15392 , total: , 0.124025 , delta E: , -0.0698114 , t: , 57
KE: , 0.278419 , PE: , -0.154184 , total: , 0.124235 , delta E: , -0.0682349 , t: , 57.25
KE: , 0.278894 , PE: , -0.154449 , total: , 0.124446 , delta E: , -0.0666586 , t: , 57.5
KE: , 0.27937 , PE: , -0.154714 , total: , 0.124656 , delta E: , -0.0650834 , t: , 57.75
KE: , 0.279846 , PE: , -0.15498 , total: , 0.124865 , delta E: , -0.0635099 , t: , 58
KE: , 0.280322 , PE: , -0.155247 , total: , 0.125075 , delta E: , -0.0619388 , t: , 58.25
KE: , 0.280798 , PE: , -0.155514 , total: , 0.125284 , delta E: , -0.060371 , t: , 58.5
KE: , 0.281274 , PE: , -0.155782 , total: , 0.125492 , delta E: , -0.0588072 , t: , 58.75
KE: , 0.28175 , PE: , -0.15605 , total: , 0.1257 , delta E: , -0.0572482 , t: , 59
KE: , 0.282225 , PE: , -0.156318 , total: , 0.125907 , delta E: , -0.0556946 , t: , 59.25
KE: , 0.282699 , PE: , -0.156585 , total: , 0.126114 , delta E: , -0.0541473 , t: , 59.5
KE: , 0.283172 , PE: , -0.156853 , total: , 0.126319 , delta E: , -0.052607 , t: , 59.75
KE: , 0.283644 , PE: , -0.157121 , total: , 0.126523 , delta E: , -0.0510745 , t: , 60
KE: , 0.284114 , PE: , -0.157387 , total: , 0.126727 , delta E: , -0.0495506 , t: , 60.25
KE: , 0.284582 , PE: , -0.157654 , total: , 0.126929 , delta E: , -0.048036 , t: , 60.5
KE: , 0.285048 , PE: , -0.157919 , total: , 0.127129 , delta E: , -0.0465316 , t: , 60.75
KE: , 0.285512 , PE: , -0.158184 , total: , 0.127328 , delta E: , -0.045038 , t: , 61
KE: , 0.285973 , PE: , -0.158447 , total: , 0.127526 , delta E: , -0.0435562 , t: , 61.25
KE: , 0.286431 , PE: , -0.15871 , total: , 0.127722 , delta E: , -0.0420868 , t: , 61.5
KE: , 0.286886 , PE: , -0.15897 , total: , 0.127916 , delta E: , -0.0406307 , t: , 61.75
KE: , 0.287338 , PE: , -0.15923 , total: , 0.128108 , delta E: , -0.0391886 , t: , 62
KE: , 0.287786 , PE: , -0.159487 , total: , 0.128298 , delta E: , -0.0377613 , t: , 62.25
KE: , 0.28823 , PE: , -0.159743 , total: , 0.128487 , delta E: , -0.0363496 , t: , 62.5
KE: , 0.288669 , PE: , -0.159997 , total: , 0.128673 , delta E: , -0.0349543 , t: , 62.75
KE: , 0.289105 , PE: , -0.160248 , total: , 0.128857 , delta E: , -0.0335761 , t: , 63
KE: , 0.289535 , PE: , -0.160497 , total: , 0.129038 , delta E: , -0.0322158 , t: , 63.25
KE: , 0.289961 , PE: , -0.160744 , total: , 0.129217 , delta E: , -0.0308742 , t: , 63.5
KE: , 0.290381 , PE: , -0.160988 , total: , 0.129393 , delta E: , -0.029552 , t: , 63.75
KE: , 0.290795 , PE: , -0.161228 , total: , 0.129567 , delta E: , -0.02825 , t: , 64
KE: , 0.291204 , PE: , -0.161466 , total: , 0.129737 , delta E: , -0.0269689 , t: , 64.25
KE: , 0.291606 , PE: , -0.161701 , total: , 0.129905 , delta E: , -0.0257095 , t: , 64.5
KE: , 0.292002 , PE: , -0.161932 , total: , 0.13007 , delta E: , -0.0244725 , t: , 64.75
KE: , 0.292392 , PE: , -0.16216 , total: , 0.130232 , delta E: , -0.0232587 , t: , 65
KE: , 0.292774 , PE: , -0.162383 , total: , 0.130391 , delta E: , -0.0220687 , t: , 65.25
KE: , 0.29315 , PE: , -0.162603 , total: , 0.130546 , delta E: , -0.0209032 , t: , 65.5
KE: , 0.293517 , PE: , -0.162819 , total: , 0.130698 , delta E: , -0.019763 , t: , 65.75
